source_id,title,url,publisher,type,scheme_scope,used_for,last_updated_from_source
src01,HDFC Large Cap Fund - Direct page,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-cap-fund/direct,HDFC Mutual Fund,scheme_page,HDFC Large Cap Fund,"expense ratio, exit load, min SIP, lock-in, riskometer, benchmark",2026-04-19 snapshot
src02,HDFC Large Cap Fund SID dated November 21 2025,https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID%20-%20HDFC%20Large%20Cap%20Fund%20dated%20November%2021%2C%202025_0.pdf,HDFC Mutual Fund,sid_pdf,HDFC Large Cap Fund,"scheme document backup, benchmark, load structure",2025-11-21
src03,HDFC Large Cap Fund KIM dated November 21 2025,https://files.hdfcfund.com/s3fs-public/KIM/2025-11/KIM%20-%20HDFC%20Large%20Cap%20Fund%20dated%20November%2021%2C%202025_0.pdf,HDFC Mutual Fund,kim_pdf,HDFC Large Cap Fund,"scheme document backup, benchmark, riskometer",2025-11-21
src04,HDFC Large Cap Fund factsheet - March 2026,https://files.hdfcfund.com/s3fs-public/Others/2026-03/Fund%20Facts%20-%20HDFC%20Large%20Cap%20Fund_March%2026.pdf,HDFC Mutual Fund,factsheet_pdf,HDFC Large Cap Fund,official factsheet for performance redirection,2026-03
src05,HDFC Flexi Cap Fund - Direct page,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,HDFC Mutual Fund,scheme_page,HDFC Flexi Cap Fund,"expense ratio, exit load, min SIP, lock-in, riskometer, benchmark",2026-04-19 snapshot
src06,HDFC Flexi Cap Fund SID dated November 21 2025,https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID%20-%20HDFC%20Flexi%20Cap%20Fund%20dated%20November%2021%2C%202025_0.pdf,HDFC Mutual Fund,sid_pdf,HDFC Flexi Cap Fund,"scheme document backup, benchmark, load structure",2025-11-21
src07,HDFC Flexi Cap Fund KIM dated November 21 2025,https://files.hdfcfund.com/s3fs-public/KIM/2025-11/KIM%20-%20HDFC%20Flexi%20Cap%20Fund%20dated%20November%2021%2C%202025_1.pdf?VersionId=kjfKm83nM5q0LDh1xu645ZXrnetxOtVr,HDFC Mutual Fund,kim_pdf,HDFC Flexi Cap Fund,"scheme document backup, benchmark, riskometer",2025-11-21
src08,HDFC Flexi Cap Fund factsheet - March 2026,https://files.hdfcfund.com/s3fs-public/Others/2026-03/Fund%20Facts%20-%20HDFC%20Flexi%20Cap%20Fund_March%2026.pdf,HDFC Mutual Fund,factsheet_pdf,HDFC Flexi Cap Fund,official factsheet for performance redirection,2026-03
src09,HDFC ELSS Tax Saver - Direct page,https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,HDFC Mutual Fund,scheme_page,HDFC ELSS Tax Saver,"expense ratio, exit load, min SIP, lock-in, riskometer, benchmark",2026-04-19 snapshot
src10,HDFC ELSS Tax Saver SID dated November 21 2025,https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID%20-%20HDFC%20ELSS%20Tax%20Saver%20dated%20November%2021%2C%202025.pdf?VersionId=DungYvv2dhOQ1qZfNi4xvypECzXU_tEu,HDFC Mutual Fund,sid_pdf,HDFC ELSS Tax Saver,"scheme document backup, benchmark, lock-in",2025-11-21
src11,HDFC ELSS Tax Saver KIM dated November 21 2025,https://files.hdfcfund.com/s3fs-public/KIM/2025-11/KIM%20-%20HDFC%20ELSS%20Tax%20Saver%20dated%20November%2021%2C%202025_0.pdf?VersionId=CWvBjiK_hIuApMLzaZJVRt17Sc6tmlog,HDFC Mutual Fund,kim_pdf,HDFC ELSS Tax Saver,"scheme document backup, benchmark, riskometer",2025-11-21
src12,HDFC ELSS Tax Saver factsheet - March 2026,https://files.hdfcfund.com/s3fs-public/Others/2026-03/Fund%20Facts%20-%20HDFC%20TaxSaver%20Fund_March%2026.pdf,HDFC Mutual Fund,factsheet_pdf,HDFC ELSS Tax Saver,official factsheet for performance redirection,2026-03
src13,HDFC Mutual Fund - Total Expense Ratio,https://www.hdfcfund.com/statutory-disclosure/total-expense-ratio-of-mutual-fund-schemes/reports,HDFC Mutual Fund,hub_page,General,TER reports and disclosure hub,2026-04-19 snapshot
src14,HDFC Mutual Fund - Factsheet Block,https://www.hdfcfund.com/mutual-funds/factsheets,HDFC Mutual Fund,hub_page,General,factsheet hub for official scheme performance,2026-04-19 snapshot
src15,HDFC Mutual Fund - Request Statement,https://www.hdfcfund.com/services/additional-info/request-statement,HDFC Mutual Fund,service_page,General,"account statement, capital gains statement, consolidated realized gains statement",2026-04-19 snapshot
src16,HDFC Mutual Fund - Consolidated Account Statement,https://www.hdfcfund.com/services/consolidated-account-statement,HDFC Mutual Fund,service_page,General,PAN-based and folio-based statement types,2026-04-19 snapshot
src17,HDFC Mutual Fund - Consolidated Account Statement FAQ,https://www.hdfcfund.com/services/faqs/consolidated-account-statement,HDFC Mutual Fund,faq_page,General,CAS definition and dispatch timing,2026-04-19 snapshot
src18,HDFC Mutual Fund - Services,https://www.hdfcfund.com/services,HDFC Mutual Fund,hub_page,General,official investor service landing page,2026-04-19 snapshot
src19,HDFC Mutual Fund - Explore Mutual Funds,https://www.hdfcfund.com/explore/mutual-funds,HDFC Mutual Fund,hub_page,General,scope landing page for schemes,2026-04-19 snapshot
src20,AMFI - Consolidated Account Statement (CAS),https://www.amfiindia.com/investor/become-mf-distributor?zoneName=consolidatedAcct,AMFI,education_page,General,CAS definition and timing across mutual funds,2026-04-19 snapshot
src21,AMFI - Download CAS,https://www.amfiindia.com/online-center/download-cas,AMFI,service_page,General,"e-CAS via CAMS, KFintech, and MFCentral",2026-04-19 snapshot
src22,SEBI Investor - Understanding Mutual Funds,https://investor.sebi.gov.in/understanding_mf.html,SEBI,education_page,General,"educational refusal link; no investment advice",2026-04-19 snapshot

